"Referência","Quantidade de pessoas do sexo masculino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"05/2019","74961","58606","149713","27114","53699","51022","26265","24051","20543","17912","14923","11045","5754"
"06/2019","72466","56961","144849","26002","50790","49019","25346","23215","19903","17432","14517","10665","5419"
"07/2019","70367","56049","142590","25581","49184","47221","24610","22598","19402","16951","14125","10381","4902"
"08/2019","69406","55964","141926","25396","48552","47008","24509","22478","19302","16890","14065","10328","4824"
"09/2019","66008","53718","135784","24087","45136","43994","23190","21449","18505","16318","13599","9887","4431"
"10/2019","65230","53673","135375","23952","44671","43898","23077","21337","18384","16224","13503","9835","4312"
"11/2019","63925","52255","131676","23025","42730","42879","22516","20771","17912","15858","13240","9654","4191"
"12/2019","63156","52298","131238","22903","42316","42621","22387","20695","17824","15791","13153","9552","4111"
"01/2020","64737","53537","133312","22981","42111","44021","23013","21086","18118","16103","13378","9803","4190"
"02/2020","63580","53488","133276","23093","42258","43896","22907","21084","18105","16050","13341","9805","4247"
"03/2020","64583","54164","134814","23181","42733","44242","23134","21384","18305","16286","13614","9974","3998"
"04/2020","71567","58584","144700","24418","47146","49568","25403","23314","20065","17872","15076","11143","4754"
"05/2020","70656","58779","145142","24538","47485","49572","25353","23368","20147","17904","15091","11209","4883"
"06/2020","68294","59022","145448","24726","47804","49422","25249","23419","20179","17907","15122","11249","5069"
"07/2020","66875","59141","145692","24938","47949","49279","25217","23396","20133","17902","15132","11291","5190"
"08/2020","65522","59324","145974","25017","48206","49180","25076","23430","20130","17922","15160","11330","5320"
"09/2020","64204","59391","146372","25188","48519","48933","24993","23451","20139","17863","15279","11325","5388"
"10/2020","63226","59420","0","0","0","0","0","0","0","0","0","0","0"
"11/2020","62287","59360","","","","","","","","","","",""
"12/2020","61588","59214","146897","25588","48763","48151","24836","23311","20085","17837","15433","11517","5809"
"01/2021","60827","59147","147014","25709","48315","47732","24750","23177","19951","17749","15376","11437","5715"
"02/2021","62687","59870","148856","26101","48745","48968","25238","23599","20339","18067","15862","11868","6159"
"03/2021","65341","61117","152826","26675","49881","50319","26010","24377","21089","18813","16546","12479","6605"
"04/2021","65329","61603","154033","26971","50182","50448","26160","24504","21282","18975","16725","12655","6804"
"05/2021","63978","61745","154457","27222","50090","50103","26001","24448","21224","18981","16717","12675","6963"
"06/2021","62937","61957","154673","27425","49996","49830","25922","24400","21230","18941","16721","12733","7093"
"07/2021","61807","62108","155048","27618","50128","49597","25863","24413","21224","18902","16743","12772","7242"
"08/2021","60582","62022","154955","27892","50111","49257","25648","24330","21050","18847","16570","12646","7311"
"09/2021","59758","61969","155117","28107","50151","49106","25551","24358","21057","18772","16633","12684","7471"
"10/2021","58922","61983","155247","28341","50184","48911","25440","24411","21053","18762","16657","12756","7608"
"11/2021","57909","61550","154457","28184","49424","47826","24908","23976","20704","18357","16232","12241","6483"
"12/2021","57489","61738","155076","28741","49394","47564","24852","24006","20828","18408","16289","12288","6572"
"01/2022","77190","71501","179534","33249","58865","58704","30374","29335","25911","23465","21401","16629","8317"
"02/2022","80380","73994","186281","34190","61959","62004","31790","30609","26948","24315","22218","17204","8755"
"03/2022","77748","71804","181633","32990","57387","58207","30127","29274","25852","23514","21511","16567","6767"
"04/2022","77581","71964","182603","33121","57895","58340","30135","29529","25993","23650","21678","16712","6880"
"05/2022","78323","72522","184608","33488","57641","57795","29922","29500","25844","23385","21366","16516","6953"
"06/2022","78501","72757","185272","33576","57033","57506","29812","29418","25852","23413","21450","16630","7030"
"07/2022","77875","72689","185505","33573","56860","57131","29617","29392","25799","23337","21348","16612","7079"
"08/2022","85210","76266","194430","35202","60856","62154","31699","31666","27963","25449","23462","18542","7975"
