Data,Familias Beneficiarias BS em pobreza,Familias Beneficiarias BS de baixa renda,Familias Beneficiarias BS renda per capita maior meio salario minimo,Beneficiarias BF feminino 0 a 3 anos,Beneficiarias BF feminino 4 a 6 anos,Beneficiarias BF feminino 7 a 15 anos,Beneficiarias BF feminino 16 a 17 anos,Beneficiarias BF feminino 18 a 24 anos,Beneficiarias BF feminino 25 a 34 anos,Beneficiarias BF feminino 35 a 39 anos,Beneficiarias BF feminino 40 a 44 anos,Beneficiarias BF feminino 45 a 49 anos,Beneficiarias BF feminino 50 a 54 anos,Beneficiarias BF feminino 55 a 59 anos,Beneficiarias BF feminino 60 a 64 anos,Beneficiarias BF feminino acima de 64 anos,Beneficiarias BF masculino 0 a 3 anos,Beneficiarias BF masculino 4 a 6 anos,Beneficiarias BF masculino 7 a 15 anos,Beneficiarias BF masculino 16 a 17 anos,Beneficiarias BF masculino 18 a 24 anos,Beneficiarias BF masculino 25 a 34 anos,Beneficiarias BF masculino 35 a 39 anos,Beneficiarias BF masculino 40 a 44 anos,Beneficiarias BF masculino 45 a 49 anos,Beneficiarias BF masculino 50 a 54 anos,Beneficiarias BF masculino 55 a 59 anos,Beneficiarias BF masculino 60 a 64 anos,Beneficiarias BF masculino acima de 64 anos,Quantidade de Benefícios de Renda de Cidadania (BRC),Quantidade de Benefícios Complementares (BCO),Quantidade de Benefícios Primeira Infância (BPI) PBF,Quantidade de Benefícios Variáveis Familiares Gestante (BVG),Quantidade de Benefícios Variáveis Familiares Nutriz (BVN),Quantidade de Benefícios Variáveis Familiares Criança (BV),Quantidade de Benefícios Variáveis Familiares Adolescente (BVA),Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados,Quantidade de Benefícios Variáveis Familiares,Quantidade de Benefícios Extraordinários de Transição (BET),Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso
03/2026,1156994.0,338668.0,7.0,79022.0,70021.0,181125.0,30733.0,84123.0,173030.0,72792.0,58033.0,44546.0,35286.0,27958.0,19709.0,5166.0,82686.0,73907.0,188148.0,31291.0,44565.0,49292.0,25748.0,26045.0,24451.0,22901.0,22116.0,17963.0,5012.0,1494883.0,503391.0,298871.0,22586.0,11307.0,371109.0,68096.0,439205.0,473098.0,,
04/2015,,,,64144.0,59349.0,,,,,,,,,,,,66555.0,61943.0,,,,,,,,,,,,,,,,,,,,,,
04/2016,,,,71509.0,58435.0,,,,,,,,,,,,75656.0,60778.0,,,,,,,,,,,,,,,,,,,,,,
04/2017,,,,70602.0,56279.0,,,,,,,,,,,,74746.0,58372.0,,,,,,,,,,,,,,,,,,,,,,
04/2018,,,,70091.0,53962.0,144403.0,27355.0,85673.0,118968.0,53791.0,39989.0,28218.0,22018.0,15277.0,9271.0,4975.0,74729.0,56346.0,149598.0,28354.0,54679.0,49869.0,26444.0,23759.0,19755.0,16737.0,13321.0,9559.0,5189.0,,,,,,,,,,,
04/2019,,,,70484.0,54778.0,142723.0,26328.0,84298.0,121783.0,52906.0,40726.0,29244.0,23501.0,16857.0,10471.0,5409.0,74040.0,57635.0,148031.0,26970.0,53353.0,49833.0,25832.0,23593.0,20215.0,17654.0,14666.0,10801.0,5648.0,,,,,,,,,,,
04/2020,,,,68422.0,55622.0,139283.0,24502.0,82297.0,121731.0,51346.0,39583.0,28800.0,23548.0,16897.0,10677.0,4558.0,71567.0,58584.0,144700.0,24418.0,47146.0,49568.0,25403.0,23314.0,20065.0,17872.0,15076.0,11143.0,4754.0,,,,,,,,,,,
04/2021,,,,62353.0,58523.0,148081.0,26432.0,82512.0,129317.0,55954.0,43508.0,31943.0,25782.0,19428.0,12468.0,6379.0,65329.0,61603.0,154033.0,26971.0,50182.0,50448.0,26160.0,24504.0,21282.0,18975.0,16725.0,12655.0,6804.0,,,,,,,,,,,
04/2022,,,,73995.0,68345.0,174988.0,32772.0,96660.0,157040.0,68311.0,54907.0,40444.0,32968.0,25716.0,16621.0,6598.0,77581.0,71964.0,182603.0,33121.0,57895.0,58340.0,30135.0,29529.0,25993.0,23650.0,21678.0,16712.0,6880.0,,,,,,,,,,,
04/2023,1466618.0,149111.0,0.0,86085.0,72813.0,188915.0,34637.0,101419.0,174342.0,74165.0,61440.0,45721.0,37826.0,29786.0,19801.0,5678.0,90124.0,76930.0,196624.0,34930.0,55236.0,60509.0,31037.0,31742.0,28318.0,26463.0,25146.0,19980.0,6056.0,,,317435.0,,,,,,,,
04/2024,1300365.0,404523.0,0.0,91522.0,77400.0,198603.0,34593.0,106725.0,186352.0,79409.0,66168.0,50283.0,40193.0,32017.0,21243.0,5357.0,95674.0,81960.0,207659.0,34909.0,59516.0,62062.0,31253.0,31901.0,29008.0,27333.0,26634.0,21011.0,6095.0,1704864.0,554303.0,339626.0,26643.0,12774.0,408345.0,78660.0,487005.0,526422.0,5446.0,
04/2025,1229855.0,435114.0,0.0,88568.0,76474.0,197960.0,33710.0,98720.0,187508.0,79628.0,63746.0,49414.0,39505.0,31815.0,21765.0,5370.0,91528.0,80653.0,206741.0,34034.0,54446.0,58143.0,29639.0,29813.0,27513.0,26160.0,25372.0,20687.0,6057.0,1664966.0,546320.0,328110.0,22437.0,9996.0,407545.0,77342.0,484887.0,517320.0,4277.0,
04/2026,1175317.0,336536.0,7.0,79704.0,70468.0,182947.0,31086.0,85012.0,174820.0,73632.0,58730.0,44977.0,35690.0,28380.0,20120.0,5560.0,83337.0,74422.0,190041.0,31514.0,44907.0,49848.0,26115.0,26416.0,24800.0,23339.0,22506.0,18287.0,5365.0,1511154.0,504959.0,300974.0,22660.0,11682.0,374923.0,70663.0,445586.0,479928.0,,
05/2015,,,,63281.0,59172.0,,,,,,,,,,,,65599.0,61813.0,,,,,,,,,,,,,,,,,,,,,,
05/2016,,,,70243.0,57874.0,,,,,,,,,,,,74101.0,60370.0,,,,,,,,,,,,,,,,,,,,,,
05/2017,,,,69928.0,55799.0,155342.0,30103.0,87534.0,121375.0,57223.0,41475.0,29697.0,21781.0,14298.0,8165.0,3930.0,74086.0,57913.0,161392.0,31257.0,58643.0,51243.0,28276.0,24947.0,20689.0,16527.0,12712.0,8457.0,4304.0,,,,,,,,,,,
05/2018,,,,71489.0,54776.0,146281.0,27671.0,87057.0,121025.0,54651.0,40542.0,28595.0,22293.0,15453.0,9339.0,4950.0,75779.0,57223.0,151521.0,28552.0,55159.0,50801.0,26871.0,24068.0,20000.0,16956.0,13520.0,9640.0,5121.0,,,,,,,,,,,
05/2019,,,,71568.0,55662.0,144321.0,26549.0,85750.0,123828.0,53682.0,41293.0,29664.0,23916.0,17175.0,10678.0,5545.0,74961.0,58606.0,149713.0,27114.0,53699.0,51022.0,26265.0,24051.0,20543.0,17912.0,14923.0,11045.0,5754.0,,,,,,,,,,,
05/2020,,,,67572.0,55807.0,139680.0,24355.0,82261.0,121840.0,51514.0,39775.0,28982.0,23634.0,17005.0,10759.0,4643.0,70656.0,58779.0,145142.0,24538.0,47485.0,49572.0,25353.0,23368.0,20147.0,17904.0,15091.0,11209.0,4883.0,,,,,,,,,,,
05/2021,,,,61102.0,58626.0,148149.0,26664.0,81702.0,129127.0,56263.0,43643.0,32106.0,25844.0,19492.0,12550.0,6575.0,63978.0,61745.0,154457.0,27222.0,50090.0,50103.0,26001.0,24448.0,21224.0,18981.0,16717.0,12675.0,6963.0,,,,,,,,,,,
05/2022,,,,74665.0,69042.0,176916.0,33218.0,97111.0,158600.0,68933.0,55587.0,40508.0,32696.0,25326.0,16467.0,6685.0,78323.0,72522.0,184608.0,33488.0,57641.0,57795.0,29922.0,29500.0,25844.0,23385.0,21366.0,16516.0,6953.0,,,,,,,,,,,
05/2023,1477110.0,155719.0,0.0,87898.0,73601.0,190966.0,34794.0,102546.0,176841.0,75000.0,62254.0,46224.0,37918.0,29938.0,19862.0,5845.0,91856.0,77817.0,198721.0,35143.0,55785.0,60907.0,31156.0,31843.0,28334.0,26415.0,25119.0,19838.0,6202.0,,,324001.0,,,,,,,,
05/2024,1314175.0,391970.0,0.0,91159.0,77247.0,198600.0,34483.0,106483.0,186938.0,79560.0,65875.0,50368.0,40298.0,32227.0,21489.0,5578.0,95312.0,81751.0,207602.0,34847.0,59565.0,62304.0,31314.0,31961.0,29210.0,27444.0,26882.0,21251.0,6387.0,1706117.0,556552.0,338046.0,32478.0,12782.0,408474.0,81046.0,489520.0,534780.0,5265.0,
