Data,Familias Beneficiarias BS em pobreza,Familias Beneficiarias BS de baixa renda,Familias Beneficiarias BS renda per capita maior meio salario minimo,Beneficiarias BF feminino 0 a 3 anos,Beneficiarias BF feminino 4 a 6 anos,Beneficiarias BF feminino 7 a 15 anos,Beneficiarias BF feminino 16 a 17 anos,Beneficiarias BF feminino 18 a 24 anos,Beneficiarias BF feminino 25 a 34 anos,Beneficiarias BF feminino 35 a 39 anos,Beneficiarias BF feminino 40 a 44 anos,Beneficiarias BF feminino 45 a 49 anos,Beneficiarias BF feminino 50 a 54 anos,Beneficiarias BF feminino 55 a 59 anos,Beneficiarias BF feminino 60 a 64 anos,Beneficiarias BF feminino acima de 64 anos,Beneficiarias BF masculino 0 a 3 anos,Beneficiarias BF masculino 4 a 6 anos,Beneficiarias BF masculino 7 a 15 anos,Beneficiarias BF masculino 16 a 17 anos,Beneficiarias BF masculino 18 a 24 anos,Beneficiarias BF masculino 25 a 34 anos,Beneficiarias BF masculino 35 a 39 anos,Beneficiarias BF masculino 40 a 44 anos,Beneficiarias BF masculino 45 a 49 anos,Beneficiarias BF masculino 50 a 54 anos,Beneficiarias BF masculino 55 a 59 anos,Beneficiarias BF masculino 60 a 64 anos,Beneficiarias BF masculino acima de 64 anos,Quantidade de Benefícios de Renda de Cidadania (BRC),Quantidade de Benefícios Complementares (BCO),Quantidade de Benefícios Primeira Infância (BPI) PBF,Quantidade de Benefícios Variáveis Familiares Gestante (BVG),Quantidade de Benefícios Variáveis Familiares Nutriz (BVN),Quantidade de Benefícios Variáveis Familiares Criança (BV),Quantidade de Benefícios Variáveis Familiares Adolescente (BVA),Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados,Quantidade de Benefícios Variáveis Familiares,Quantidade de Benefícios Extraordinários de Transição (BET),Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso
07/2021,,,,59209.0,58876.0,148455.0,26903.0,80711.0,129102.0,56525.0,44007.0,32389.0,25876.0,19683.0,12724.0,6841.0,61807.0,62108.0,155048.0,27618.0,50128.0,49597.0,25863.0,24413.0,21224.0,18902.0,16743.0,12772.0,7242.0,,,,,,,,,,,
07/2022,,,,74000.0,69255.0,177856.0,33194.0,96059.0,159204.0,69317.0,56066.0,40947.0,32901.0,25449.0,16655.0,6749.0,77875.0,72689.0,185505.0,33573.0,56860.0,57131.0,29617.0,29392.0,25799.0,23337.0,21348.0,16612.0,7079.0,,,,,,,,,,,
07/2023,1281256.0,354690.0,0.0,87326.0,73862.0,191460.0,34691.0,102200.0,177033.0,75248.0,62563.0,47032.0,38566.0,30174.0,19781.0,5166.0,91181.0,77946.0,199478.0,34897.0,56739.0,60984.0,30979.0,31805.0,28611.0,26879.0,25744.0,20073.0,5524.0,1635939.0,533700.0,324492.0,35239.0,,392324.0,70683.0,463007.0,498246.0,6491.0,
07/2024,1285474.0,425417.0,0.0,92839.0,77373.0,199641.0,34584.0,106419.0,188742.0,79963.0,65813.0,50436.0,40155.0,32402.0,21757.0,5360.0,96884.0,81587.0,208528.0,34532.0,58398.0,61985.0,31207.0,31912.0,28933.0,27318.0,26801.0,21254.0,6062.0,1710880.0,561907.0,341949.0,42336.0,13523.0,410165.0,84755.0,494920.0,550779.0,5000.0,
07/2025,1173317.0,386049.0,0.0,81291.0,72097.0,186865.0,31264.0,91219.0,178220.0,75084.0,59885.0,46733.0,37475.0,30070.0,20699.0,4624.0,85419.0,75973.0,194709.0,31700.0,49347.0,53322.0,27361.0,27566.0,25823.0,24423.0,23845.0,19378.0,5121.0,1558246.0,517292.0,307562.0,22505.0,8958.0,383224.0,78240.0,461464.0,492927.0,,
07/2026,,,,80227.0,71014.0,184907.0,31563.0,86703.0,177335.0,74612.0,59514.0,45647.0,36493.0,28755.0,20522.0,5914.0,84404.0,74604.0,191662.0,31618.0,45269.0,50664.0,26502.0,26830.0,25228.0,23923.0,23117.0,18824.0,5302.0,1530378.0,518046.0,303752.0,23206.0,11835.0,377842.0,77087.0,454929.0,489970.0,,
08/2015,,,,64574.0,60311.0,,,,,,,,,,,,67166.0,62916.0,,,,,,,,,,,,,,,,,,,,,,
08/2016,,,,71499.0,59061.0,,,,,,,,,,,,75470.0,61803.0,,,,,,,,,,,,,,,,,,,,,,
08/2017,,,,70389.0,54537.0,148901.0,28286.0,86510.0,119742.0,54734.0,39587.0,28679.0,21510.0,14077.0,8232.0,3908.0,74994.0,56662.0,154786.0,28946.0,54087.0,50340.0,27278.0,23854.0,20098.0,16259.0,12723.0,8404.0,4206.0,,,,,,,,,,,
08/2018,,,,71572.0,55042.0,144259.0,27054.0,86958.0,120857.0,53659.0,39903.0,28321.0,22232.0,15298.0,9329.0,4681.0,75562.0,57505.0,149913.0,27659.0,53110.0,50379.0,26383.0,23550.0,19721.0,16911.0,13559.0,9639.0,4866.0,,,,,,,,,,,
08/2019,,,,66280.0,53346.0,136909.0,24727.0,79577.0,116470.0,50519.0,38885.0,28002.0,22618.0,15984.0,9939.0,4646.0,69406.0,55964.0,141926.0,25396.0,48552.0,47008.0,24509.0,22478.0,19302.0,16890.0,14065.0,10328.0,4824.0,,,,,,,,,,,
08/2020,,,,62898.0,56106.0,140349.0,24414.0,81142.0,122078.0,51876.0,40324.0,29381.0,23771.0,17302.0,10966.0,5053.0,65522.0,59324.0,145974.0,25017.0,48206.0,49180.0,25076.0,23430.0,20130.0,17922.0,15160.0,11330.0,5320.0,,,,,,,,,,,
08/2021,,,,57967.0,58882.0,148407.0,26934.0,79796.0,128786.0,56557.0,44228.0,32476.0,25862.0,19726.0,12735.0,6958.0,60582.0,62022.0,154955.0,27892.0,50111.0,49257.0,25648.0,24330.0,21050.0,18847.0,16570.0,12646.0,7311.0,,,,,,,,,,,
08/2022,,,,80991.0,72802.0,186270.0,35267.0,104842.0,170401.0,73505.0,60101.0,44278.0,35980.0,28118.0,18448.0,7807.0,85210.0,76266.0,194430.0,35202.0,60856.0,62154.0,31699.0,31666.0,27963.0,25449.0,23462.0,18542.0,7975.0,,,,,,,,,,,
08/2023,1327969.0,331622.0,0.0,89086.0,74687.0,192689.0,34856.0,104476.0,179898.0,76192.0,63493.0,47902.0,39447.0,31050.0,20412.0,5438.0,93186.0,78634.0,200996.0,34974.0,58027.0,61800.0,31235.0,32107.0,28871.0,27266.0,26289.0,20644.0,5933.0,1659584.0,544152.0,329452.0,33312.0,,395296.0,73311.0,468607.0,501919.0,6346.0,
08/2024,1282790.0,412772.0,0.0,91748.0,76504.0,198321.0,34090.0,104564.0,187271.0,79344.0,65272.0,50185.0,39947.0,32410.0,21746.0,5527.0,95706.0,80714.0,206925.0,34161.0,57755.0,61201.0,30881.0,31513.0,28622.0,27075.0,26642.0,21211.0,6224.0,1695559.0,557242.0,337961.0,43431.0,13695.0,406997.0,86277.0,493274.0,550400.0,4890.0,
08/2025,1149146.0,380138.0,0.0,80822.0,70684.0,183138.0,30659.0,88750.0,175145.0,73472.0,58299.0,45551.0,36618.0,29439.0,20519.0,4604.0,85008.0,74463.0,190703.0,31030.0,47467.0,52183.0,26900.0,26953.0,25330.0,23969.0,23457.0,19073.0,5048.0,1528453.0,506544.0,303678.0,21870.0,10016.0,375888.0,78239.0,454127.0,486013.0,,
08/2026,1215453.0,314039.0,0.0,79871.0,70953.0,184936.0,31667.0,86261.0,177182.0,74583.0,59567.0,45744.0,36406.0,28754.0,20549.0,5904.0,84051.0,74595.0,191476.0,31802.0,45187.0,50530.0,26468.0,26779.0,25267.0,23854.0,23116.0,18811.0,5293.0,1528704.0,517895.0,302467.0,25206.0,13144.0,378130.0,78866.0,456996.0,495346.0,,
09/2015,,,,68057.0,61593.0,,,,,,,,,,,,70932.0,64457.0,,,,,,,,,,,,,,,,,,,,,,
09/2016,,,,74584.0,59558.0,,,,,,,,,,,,78653.0,62029.0,,,,,,,,,,,,,,,,,,,,,,
09/2017,,,,70012.0,53517.0,145132.0,27370.0,85400.0,117668.0,53142.0,38531.0,28083.0,21205.0,13903.0,8163.0,3847.0,74574.0,55521.0,150582.0,27862.0,52356.0,49593.0,26459.0,23085.0,19590.0,15946.0,12577.0,8319.0,4081.0,,,,,,,,,,,
09/2018,,,,69502.0,53348.0,138930.0,26069.0,84163.0,116802.0,51528.0,38514.0,27442.0,21679.0,14803.0,9102.0,4316.0,73175.0,55634.0,144100.0,26419.0,50327.0,47890.0,25376.0,22675.0,19087.0,16626.0,13255.0,9433.0,4443.0,,,,,,,,,,,
09/2019,,,,62975.0,51263.0,131044.0,23395.0,75452.0,111484.0,48302.0,37177.0,26994.0,21877.0,15386.0,9620.0,4305.0,66008.0,53718.0,135784.0,24087.0,45136.0,43994.0,23190.0,21449.0,18505.0,16318.0,13599.0,9887.0,4431.0,,,,,,,,,,,
09/2020,,,,61653.0,56159.0,140643.0,24450.0,80721.0,122061.0,52051.0,40570.0,29662.0,23827.0,17460.0,11032.0,5077.0,64204.0,59391.0,146372.0,25188.0,48519.0,48933.0,24993.0,23451.0,20139.0,17863.0,15279.0,11325.0,5388.0,,,,,,,,,,,
09/2021,,,,57229.0,58883.0,148536.0,26969.0,79138.0,128816.0,56654.0,44422.0,32596.0,25886.0,19873.0,12807.0,7101.0,59758.0,61969.0,155117.0,28107.0,50151.0,49106.0,25551.0,24358.0,21057.0,18772.0,16633.0,12684.0,7471.0,,,,,,,,,,,
09/2022,,,,82363.0,72385.0,185555.0,35113.0,104545.0,171058.0,73509.0,60361.0,44995.0,37060.0,28945.0,19034.0,7723.0,86788.0,75998.0,193744.0,35056.0,59590.0,62601.0,31984.0,32184.0,28661.0,26444.0,24600.0,19210.0,7885.0,,,,,,,,,,,
09/2023,1374384.0,322207.0,0.0,91540.0,76548.0,196595.0,35490.0,107301.0,184654.0,78117.0,65113.0,49121.0,40061.0,31588.0,20655.0,5636.0,96017.0,80495.0,205158.0,35531.0,59278.0,62956.0,31725.0,32521.0,29311.0,27541.0,26586.0,20878.0,6169.0,1696583.0,555509.0,337986.0,29926.0,,403600.0,76830.0,480430.0,510356.0,6295.0,
09/2024,1283170.0,397813.0,0.0,90618.0,75791.0,197006.0,33709.0,102595.0,185824.0,79013.0,64827.0,50021.0,39816.0,32425.0,21847.0,5680.0,94311.0,80043.0,205579.0,33869.0,56969.0,60354.0,30487.0,31148.0,28279.0,26828.0,26381.0,21129.0,6434.0,1680981.0,553041.0,334829.0,45419.0,13899.0,403975.0,87672.0,491647.0,550965.0,4784.0,
09/2025,1138013.0,374881.0,0.0,80010.0,70110.0,181868.0,30349.0,87069.0,173559.0,72889.0,57800.0,45112.0,36132.0,28985.0,20197.0,4388.0,84258.0,73985.0,189266.0,30831.0,46361.0,51365.0,26624.0,26598.0,25039.0,23598.0,23021.0,18738.0,4742.0,1512209.0,500173.0,301289.0,21870.0,10016.0,372757.0,79473.0,452230.0,484116.0,,
10/2015,,,,69812.0,60813.0,,,,,,,,,,,,73073.0,63588.0,,,,,,,,,,,,,,,,,,,,,,
10/2016,,,,74773.0,60114.0,,,,,,,,,,,,78977.0,62451.0,,,,,,,,,,,,,,,,,,,,,,
10/2017,,,,70306.0,53948.0,145304.0,27324.0,85984.0,118434.0,53088.0,38527.0,28110.0,21271.0,14053.0,8245.0,3809.0,74930.0,55756.0,150718.0,27750.0,52081.0,50059.0,26570.0,23209.0,19640.0,16061.0,12691.0,8423.0,4020.0,,,,,,,,,,,
10/2018,,,,70922.0,54222.0,140653.0,26337.0,85540.0,118833.0,52299.0,39073.0,27878.0,22157.0,15153.0,9313.0,4399.0,74435.0,56570.0,145797.0,26626.0,50624.0,49006.0,25895.0,23085.0,19501.0,17020.0,13562.0,9701.0,4545.0,,,,,,,,,,,
10/2019,,,,62384.0,51221.0,130630.0,23210.0,74856.0,111112.0,48130.0,37012.0,26875.0,21759.0,15302.0,9526.0,4208.0,65230.0,53673.0,135375.0,23952.0,44671.0,43898.0,23077.0,21337.0,18384.0,16224.0,13503.0,9835.0,4312.0,,,,,,,,,,,
10/2020,,,,60620.0,56294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63226.0,59420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
10/2021,,,,56577.0,58834.0,148641.0,27055.0,78620.0,128737.0,56671.0,44673.0,32711.0,25958.0,19976.0,12897.0,7271.0,58922.0,61983.0,155247.0,28341.0,50184.0,48911.0,25440.0,24411.0,21053.0,18762.0,16657.0,12756.0,7608.0,,,,,,,,,,,
10/2022,,,,84647.0,74072.0,189429.0,35858.0,107400.0,175973.0,75339.0,62131.0,46429.0,38325.0,29971.0,19677.0,8024.0,89167.0,77722.0,197846.0,35798.0,61076.0,64221.0,32614.0,32977.0,29307.0,27117.0,25347.0,19812.0,8150.0,,,,,,,,,,,
10/2023,1399405.0,318066.0,0.0,92277.0,77465.0,199182.0,35602.0,108602.0,186952.0,79379.0,66112.0,49843.0,40561.0,32037.0,20902.0,5849.0,96793.0,81450.0,207799.0,35791.0,60504.0,63668.0,32037.0,32880.0,29558.0,27751.0,26888.0,21119.0,6464.0,1717459.0,560810.0,342289.0,25834.0,10079.0,408469.0,79662.0,488131.0,524044.0,6127.0,
10/2024,1263099.0,426400.0,0.0,92358.0,76424.0,198456.0,34000.0,102864.0,187933.0,79464.0,64797.0,49926.0,39884.0,32319.0,21690.0,5361.0,95990.0,80473.0,206933.0,33951.0,56186.0,60385.0,30542.0,31106.0,28268.0,26895.0,26301.0,20969.0,6022.0,1689495.0,556887.0,339259.0,47129.0,14307.0,406629.0,89267.0,495896.0,557332.0,4642.0,
10/2025,1120840.0,372866.0,0.0,78518.0,69306.0,180599.0,30049.0,84793.0,171407.0,72187.0,57214.0,44602.0,35724.0,28576.0,19929.0,4369.0,82593.0,73327.0,187762.0,30645.0,45396.0,50255.0,26251.0,26351.0,24708.0,23221.0,22720.0,18455.0,4749.0,1492892.0,492975.0,297450.0,21870.0,10016.0,369547.0,80454.0,450001.0,481887.0,,
11/2015,,,,68612.0,59058.0,,,,,,,,,,,,72254.0,61691.0,,,,,,,,,,,,,,,,,,,,,,
11/2016,,,,72550.0,58266.0,,,,,,,,,,,,76500.0,60703.0,,,,,,,,,,,,,,,,,,,,,,
11/2017,,,,71902.0,54462.0,146284.0,27509.0,87267.0,120093.0,53493.0,38935.0,28438.0,21698.0,14273.0,8464.0,3939.0,76504.0,56517.0,151811.0,27700.0,52452.0,51462.0,27182.0,23600.0,20003.0,16374.0,12922.0,8725.0,4183.0,,,,,,,,,,,
11/2018,,,,72347.0,55323.0,142800.0,26684.0,87439.0,121488.0,53311.0,39839.0,28582.0,22693.0,15520.0,9555.0,4536.0,75922.0,57873.0,148122.0,26910.0,51357.0,50361.0,26525.0,23565.0,20001.0,17461.0,13921.0,9975.0,4661.0,,,,,,,,,,,
11/2019,,,,61127.0,49863.0,126816.0,22328.0,72518.0,108096.0,46686.0,35929.0,26163.0,21282.0,14991.0,9378.0,4061.0,63925.0,52255.0,131676.0,23025.0,42730.0,42879.0,22516.0,20771.0,17912.0,15858.0,13240.0,9654.0,4191.0,,,,,,,,,,,
11/2020,,,,59670.0,56277.0,,,,,,,,,,,,62287.0,59360.0,,,,,,,,,,,,,,,,,,,,,,
11/2021,,,,55606.0,58517.0,147812.0,26856.0,77284.0,127570.0,56261.0,44350.0,32331.0,25389.0,19251.0,12324.0,6054.0,57909.0,61550.0,154457.0,28184.0,49424.0,47826.0,24908.0,23976.0,20704.0,18357.0,16232.0,12241.0,6483.0,,,,,,,,,,,
11/2022,,,,85619.0,74597.0,191317.0,36015.0,108367.0,178143.0,76202.0,63357.0,47509.0,39383.0,30986.0,20408.0,8199.0,90029.0,78382.0,199643.0,36081.0,61675.0,64858.0,32835.0,33451.0,29828.0,27718.0,26026.0,20450.0,8357.0,,,,,,,,,,,
11/2023,1328767.0,384623.0,0.0,92881.0,77598.0,199149.0,35412.0,108484.0,187325.0,79297.0,65959.0,49602.0,40323.0,31680.0,20619.0,5122.0,97325.0,81585.0,207745.0,35503.0,60265.0,63278.0,31798.0,32494.0,29214.0,27520.0,26623.0,20848.0,5735.0,1713383.0,557048.0,343441.0,26372.0,12259.0,408557.0,81309.0,489866.0,528497.0,5952.0,1139.0
11/2024,1268238.0,416734.0,0.0,91517.0,76280.0,197915.0,33904.0,101894.0,187509.0,79417.0,64686.0,49986.0,39980.0,32488.0,21950.0,5550.0,94903.0,80282.0,206550.0,33937.0,56039.0,60142.0,30427.0,30930.0,28226.0,26877.0,26252.0,21107.0,6222.0,1684969.0,556046.0,336769.0,49113.0,13627.0,405994.0,90989.0,496983.0,559723.0,4604.0,
11/2025,1108410.0,349218.0,0.0,76737.0,67900.0,176256.0,29326.0,82116.0,167740.0,70470.0,56093.0,43594.0,34951.0,27828.0,19480.0,4092.0,80567.0,71782.0,183374.0,29991.0,43773.0,48843.0,25525.0,25739.0,24140.0,22691.0,22231.0,18021.0,4368.0,1457068.0,483127.0,290739.0,19075.0,11928.0,361207.0,79864.0,441071.0,472074.0,,
12/2015,,,,70189.0,59995.0,,,,,,,,,,,,73937.0,62609.0,,,,,,,,,,,,,,,,,,,,,,
12/2016,,,,73024.0,57915.0,,,,,,,,,,,,77108.0,60312.0,,,,,,,,,,,,,,,,,,,,,,
12/2017,,,,72526.0,55011.0,146965.0,27740.0,88274.0,121412.0,53872.0,39195.0,28653.0,21854.0,14456.0,8576.0,3989.0,77230.0,57243.0,152575.0,27795.0,52751.0,52213.0,27371.0,23788.0,20189.0,16558.0,13056.0,8907.0,4263.0,,,,,,,,,,,
12/2018,,,,72296.0,54679.0,140659.0,25950.0,86023.0,120674.0,52423.0,39269.0,28365.0,22744.0,15638.0,9595.0,4542.0,75786.0,57180.0,145497.0,26070.0,49716.0,50414.0,26425.0,23403.0,19995.0,17559.0,14048.0,10091.0,4643.0,,,,,,,,,,,
12/2019,,,,60458.0,49827.0,126358.0,22154.0,72045.0,107738.0,46509.0,35778.0,26074.0,21159.0,14924.0,9298.0,3982.0,63156.0,52298.0,131238.0,22903.0,42316.0,42621.0,22387.0,20695.0,17824.0,15791.0,13153.0,9552.0,4111.0,,,,,,,,,,,
12/2020,,,,58864.0,56279.0,140918.0,24754.0,79067.0,121763.0,52552.0,41027.0,29917.0,24009.0,17793.0,11242.0,5558.0,61588.0,59214.0,146897.0,25588.0,48763.0,48151.0,24836.0,23311.0,20085.0,17837.0,15433.0,11517.0,5809.0,,,,,,,,,,,
12/2021,,,,55298.0,58630.0,148509.0,27240.0,76525.0,127914.0,56540.0,44934.0,32535.0,25523.0,19446.0,12378.0,6108.0,57489.0,61738.0,155076.0,28741.0,49394.0,47564.0,24852.0,24006.0,20828.0,18408.0,16289.0,12288.0,6572.0,,,,,,,,,,,
12/2022,,,,86263.0,74402.0,191215.0,35718.0,106874.0,177747.0,75910.0,63226.0,47268.0,39250.0,30977.0,20159.0,6984.0,90557.0,78319.0,199391.0,35840.0,59615.0,63762.0,32465.0,33182.0,29627.0,27714.0,25997.0,20468.0,7223.0,,,,,,,,,,,
12/2023,1345989.0,377694.0,0.0,93956.0,77996.0,199961.0,35423.0,109132.0,188506.0,79686.0,66376.0,49978.0,40538.0,32010.0,20990.0,5338.0,98335.0,82176.0,208775.0,35471.0,60487.0,63383.0,31840.0,32532.0,29319.0,27654.0,26719.0,21088.0,6013.0,1723679.0,559850.0,345318.0,20051.0,14528.0,409913.0,83542.0,493455.0,528034.0,5868.0,1035.0
12/2024,1284413.0,403189.0,0.0,91614.0,76341.0,197717.0,33837.0,101851.0,188247.0,79576.0,64637.0,49916.0,40085.0,32577.0,22132.0,5806.0,94888.0,80514.0,206403.0,33911.0,56008.0,60470.0,30682.0,30932.0,28305.0,26941.0,26358.0,21287.0,6563.0,1687589.0,557983.0,336629.0,46074.0,13510.0,405708.0,92792.0,498500.0,558084.0,4528.0,
12/2025,1158225.0,337169.0,0.0,81855.0,69479.0,179355.0,30481.0,85347.0,172813.0,72022.0,57371.0,44442.0,35344.0,27902.0,19574.0,4381.0,85979.0,73535.0,186753.0,30535.0,44111.0,49875.0,25832.0,26083.0,24386.0,22898.0,22287.0,18128.0,4626.0,1494369.0,494146.0,303815.0,19963.0,14925.0,367933.0,81676.0,449609.0,484497.0,,
