"Referência","Quantidade de pessoas do sexo feminino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"02/2023","85532","75038","193702","35883","107314","180301","77274","64544","48088","39772","31413","20677","8054"
"03/2023","85560","72546","187848","34700","101207","173345","73931","61144","45463","37828","29793","19700","5584"
"04/2023","86085","72813","188915","34637","101419","174342","74165","61440","45721","37826","29786","19801","5678"
"05/2023","87898","73601","190966","34794","102546","176841","75000","62254","46224","37918","29938","19862","5845"
"06/2023","86877","73546","191253","34519","101723","176567","75125","62473","46488","37895","30025","19989","6039"
"07/2023","87326","73862","191460","34691","102200","177033","75248","62563","47032","38566","30174","19781","5166"
"08/2023","89086","74687","192689","34856","104476","179898","76192","63493","47902","39447","31050","20412","5438"
"09/2023","91540","76548","196595","35490","107301","184654","78117","65113","49121","40061","31588","20655","5636"
"10/2023","92277","77465","199182","35602","108602","186952","79379","66112","49843","40561","32037","20902","5849"
"11/2023","92881","77598","199149","35412","108484","187325","79297","65959","49602","40323","31680","20619","5122"
"12/2023","93956","77996","199961","35423","109132","188506","79686","66376","49978","40538","32010","20990","5338"
"01/2024","92822","77867","199815","35108","108091","187921","79715","66483","50162","40582","32263","21183","5518"
"02/2024","93111","77338","198222","34933","108369","187325","79290","66499","50518","40887","32785","21749","5856"
"03/2024","92178","77068","197500","34565","106822","185933","78915","65923","50039","40246","32075","21223","5143"
"04/2024","91522","77400","198603","34593","106725","186352","79409","66168","50283","40193","32017","21243","5357"
"05/2024","91159","77247","198600","34483","106483","186938","79560","65875","50368","40298","32227","21489","5578"
"06/2024","91137","77591","199645","34649","106774","188166","80194","66262","50713","40384","32307","21611","5744"
"07/2024","92839","77373","199641","34584","106419","188742","79963","65813","50436","40155","32402","21757","5360"
"08/2024","91748","76504","198321","34090","104564","187271","79344","65272","50185","39947","32410","21746","5527"
"09/2024","90618","75791","197006","33709","102595","185824","79013","64827","50021","39816","32425","21847","5680"
"10/2024","92358","76424","198456","34000","102864","187933","79464","64797","49926","39884","32319","21690","5361"
"11/2024","91517","76280","197915","33904","101894","187509","79417","64686","49986","39980","32488","21950","5550"
